User,Artist,Songs,Categories,Region,YT_link
Yahis,A Great Big World & Christina Aguilera,['Say Something'],['Deep & Dramatic'],USA,"[""https://www.youtube.com/watch?v=tV3uXVBydcI""]"
Yahis,A-ha,['Take on Me'],['Pop Hits'],Norway,"[""https://www.youtube.com/watch?v=djV11Xbc914""]"
Yahis,ABBA,"['Dancing Queen', 'Dancing Queen']","['Classic & Retro', 'Pop Hits']",Sweden,"[""https://www.youtube.com/watch?v=xFrGuyw1V8s"", ""https://www.youtube.com/watch?v=xFrGuyw1V8s""]"
Yahis,Adele,"['Someone Like You', 'Rolling in the Deep']","['Pop Hits', 'Pop Hits']",UK,"[""https://www.youtube.com/watch?v=hLQl3WQQoQ0"", ""https://www.youtube.com/watch?v=rYEDA3JcQqw""]"
Yahis,Ailee,['Heaven'],['Deep & Dramatic'],Korea,"[""https://www.youtube.com/watch?v=L9ro1KjkJMg""]"
Yahis,Alphaville,['Forever Young'],['Pop Hits'],Germany,"[""https://www.youtube.com/watch?v=YHRvDo8rUoQ""]"
Yahis,Andy Lau,['Forget Love Water'],['Ballads & Healing'],Hong Kong,"[""https://www.youtube.com/watch?v=j9kgtU5kb_s""]"
Yahis,Anne-Marie,[2002],['Pop Hits'],UK,"[""https://www.youtube.com/watch?v=Il-an3K9pjg""]"
Yahis,Ashin of Mayday,['The Wind Rises (cover)'],['Deep & Dramatic'],Taiwan,"[""https://www.youtube.com/watch?v=Y0toOamHXH0""]"
Yahis,Aska Yang & Zhang Bichen,['Cool Cool'],['Ballads & Healing'],China,"[""https://www.youtube.com/watch?v=NGoOpniJwnM""]"
Yahis,Avicii,['The Nights'],['Pop Hits'],Sweden,"[""https://www.youtube.com/watch?v=UtF6Jej8yb4""]"
Yahis,BIGBANG,"['Day by Day', 'Blue']","['Deep & Dramatic', 'Ballads & Healing']",Korea,"[""https://www.youtube.com/watch?v=lXCoVTlhzbw"", ""https://www.youtube.com/watch?v=2GRP1rkE4O0""]"
Yahis,Birdy,['Skinny Love'],['Folk & Acoustic'],UK,"[""https://www.youtube.com/watch?v=aNzCDt2eidg""]"
Yahis,Bon Iver,['Skinny Love'],['Deep & Dramatic'],USA,"[""https://www.youtube.com/watch?v=95FyXUHv8hk""]"
Yahis,Bruno Mars,"['Just the Way You Are', 'Talking to the Moon']","['Pop Hits', 'Deep & Dramatic']",USA,"[""https://www.youtube.com/watch?v=LjhCEhWiKXk"", ""https://www.youtube.com/watch?v=fXw0jcYbqdo""]"
