User,Artist,Songs,Categories,Region,YT_link
Yahis,A Great Big World & Christina Aguilera,['Say Something'],['Deep & Dramatic'],USA,[None]
Yahis,A-ha,['Take on Me'],['Pop Hits'],Norway,[None]
Yahis,ABBA,"['Dancing Queen', 'Dancing Queen']","['Classic & Retro', 'Pop Hits']",Sweden,"[None, None]"
Yahis,Adele,"['Someone Like You', 'Rolling in the Deep']","['Pop Hits', 'Pop Hits']",UK,"[None, None]"
Yahis,Ailee,['Heaven'],['Deep & Dramatic'],Korea,[None]
Yahis,Alphaville,['Forever Young'],['Pop Hits'],Germany,[None]
Yahis,Andy Lau,['Forget Love Water'],['Ballads & Healing'],Hong Kong,[None]
Yahis,Anne-Marie,[2002],['Pop Hits'],UK,[None]
Yahis,Ashin of Mayday,['The Wind Rises (cover)'],['Deep & Dramatic'],Taiwan,[None]
Yahis,Aska Yang & Zhang Bichen,['Cool Cool'],['Ballads & Healing'],China,[None]
Yahis,Avicii,['The Nights'],['Pop Hits'],Sweden,[None]
Yahis,BIGBANG,"['Day by Day', 'Blue']","['Deep & Dramatic', 'Ballads & Healing']",Korea,"[None, None]"
Yahis,Birdy,['Skinny Love'],['Folk & Acoustic'],UK,[None]
Yahis,Bon Iver,['Skinny Love'],['Deep & Dramatic'],USA,[None]
Yahis,Bruno Mars,"['Just the Way You Are', 'Talking to the Moon']","['Pop Hits', 'Deep & Dramatic']",USA,"[None, None]"
Yahis,Bryan Adams,['Heaven'],['Pop Hits'],Canada,[None]
Yahis,Calum Scott,['Dancing On My Own'],['Deep & Dramatic'],UK,[None]
Yahis,Carly Rae Jepsen,['Call Me Maybe'],['Pop Hits'],Canada,[None]
Yahis,Celine Dion,['My Heart Will Go On'],['Soundtrack & OST'],Canada,[None]
Yahis,Chanyeol & Punch,['Stay With Me'],['Ballads & Healing'],Korea,[None]
Yahis,Cheer Chen,['旅行的意义'],['Folk & Acoustic'],Taiwan,[None]
Yahis,Christina Aguilera / Liu Yifei,['Reflection'],['Soundtrack & OST'],"China, USA",[None]
Yahis,Christina Perri,['A Thousand Years'],['Pop Hits'],USA,[None]
Yahis,Coldplay,['The Scientist'],['Deep & Dramatic'],UK,[None]
Yahis,Crush,['Beautiful'],['Ballads & Healing'],Korea,[None]
Yahis,Cyndi Wang,['Love You'],['Ballads & Healing'],Taiwan,[None]
Yahis,Eagles,['Hotel California'],['Classic & Retro'],USA,[None]
Yahis,Eason Chan,['Red Rose'],['Ballads & Healing'],Hong Kong,[None]
Yahis,Ed Sheeran,"['Shivers', 'The A Team']","['Pop Hits', 'Folk & Acoustic']",UK,"[None, None]"
Yahis,Ellie Goulding,['Love Me Like You Do'],['Pop Hits'],UK,[None]
Yahis,F.I.R.,['Crescent Bay'],['Ballads & Healing'],Taiwan,[None]
Yahis,Gloria Gaynor,['I Will Survive'],['Classic & Retro'],USA,[None]
Yahis,Gummy,['You Are My Everything'],['Ballads & Healing'],Korea,[None]
Yahis,Harry Styles,['Watermelon Sugar'],['Pop Hits'],UK,[None]
Yahis,Hebee Tien,['A Little Happiness'],['Ballads & Healing'],Taiwan,[None]
Yahis,IU,"['Love Poem', 'Ending Scene', 'Good Day', 'My Sea']","['Ballads & Healing', 'Ballads & Healing', 'Ballads & Healing', 'Ballads & Healing']",Korea,"[None, None, None, None]"
Yahis,Idina Menzel,"['Let It Go', 'Into the Unknown']","['Pop Hits', 'Soundtrack & OST']",USA,"[None, None]"
Yahis,Jack Johnson,['Banana Pancakes'],['Folk & Acoustic'],USA,[None]
Yahis,James Arthur,"[""Say You Won't Let Go""]",['Deep & Dramatic'],UK,[None]
Yahis,Jay Chou,"['七里香', '青花瓷', 'Rice Fragrance', 'Love Confession', 'Red Dust Inn', ""I'm Very Busy""]","['Folk & Acoustic', 'Folk & Acoustic', 'Ballads & Healing', 'Ballads & Healing', 'Deep & Dramatic', 'Deep & Dramatic']",Taiwan,"[None, None, None, None, None, None]"
Yahis,John Denver,"['Take Me Home, Country Roads']",['Classic & Retro'],USA,[None]
Yahis,John Legend,['All of Me'],['Pop Hits'],USA,[None]
Yahis,John Lennon,['Imagine'],['Classic & Retro'],UK,[None]
Yahis,Joji,"['Glimpse of Us', 'Slow Dancing in the Dark']","['Deep & Dramatic', 'Deep & Dramatic']","Japan, USA","[None, None]"
Yahis,Kelly Clarkson,['Because of You'],['Pop Hits'],USA,[None]
Yahis,Kristen Bell & Idina Menzel,['For the First Time in Forever'],['Soundtrack & OST'],USA,[None]
Yahis,Labrinth,['Jealous'],['Deep & Dramatic'],UK,[None]
Yahis,Lady Gaga,['Always Remember Us This Way'],['Deep & Dramatic'],USA,[None]
Yahis,Lady Gaga & Bradley Cooper,['Shallow'],['Soundtrack & OST'],USA,[None]
Yahis,Lee Hi,"['Only', 'Breathe']","['Ballads & Healing', 'Ballads & Healing']",Korea,"[None, None]"
Yahis,Lee Hong Gi,['Still'],['Deep & Dramatic'],Korea,[None]
Yahis,Lewis Capaldi,['Someone You Loved'],['Deep & Dramatic'],UK,[None]
Yahis,Li Jian & Sun Li,['风吹麦浪'],['Folk & Acoustic'],China,[None]
Yahis,Mandy Moore & Zachary Levi,['I See the Light'],['Soundtrack & OST'],USA,[None]
Yahis,MeloMance,"['Love, Maybe']",['Ballads & Healing'],Korea,[None]
Yahis,Michael Bublé,['Home'],['Folk & Acoustic'],Canada,[None]
Yahis,Modern Talking,"['Cheri, Cheri Lady']",['Pop Hits'],Germany,[None]
Yahis,Natalie Imbruglia,['Torn'],['Pop Hits'],Australia,[None]
Yahis,Olivia Rodrigo,['Drivers License'],['Pop Hits'],USA,[None]
Yahis,One Direction,"['Story of My Life', 'Half a Heart', 'What Makes You Beautiful']","['Pop Hits', 'Deep & Dramatic', 'Pop Hits']",UK,"[None, None, None]"
Yahis,Park Hyo Shin,['Good Bye'],['Deep & Dramatic'],Korea,[None]
Yahis,Pu Shu,['Ordinary Road'],['Ballads & Healing'],China,[None]
Yahis,Queen,['Bohemian Rhapsody'],['Classic & Retro'],UK,[None]
Yahis,Radiohead,['Creep'],['Deep & Dramatic'],UK,[None]
Yahis,Ren Ran,['Suffering Person'],['Deep & Dramatic'],China,[None]
Yahis,Rene Liu,['Later'],['Ballads & Healing'],China,[None]
